English,Chinese,Audio Files
1-1,,
"Wang Yifei: Hello, AI Xiaoyu!",AI 小语，你好！,
"Xiaoyu: Hello, Ms. Wang!",王老师， 你好！,
New Words 1-1,,
hello,你好,
Ms. Wang,王老师,
1-3,,
"Wang Yifei: Hello, everyone!",大家好！,
"Students: Hello, teacher!",老师， 您好！,
"Xiaoyu: Hello, all!",你们好！,
"Students: Hello, Xiaoyu!",你好，小语！,
New Words 1-3,新词,
everybody,大家,
"Good, fine",好,
student,学生,
"Plural, used after personal pronoun or noun",们,
teacher,老师,
You （polite）,您,
1-5,,
Students: Thank you!,谢谢！,
Xiaoyu: You're welcome!,不客气！,
"Wang Yifei: Goodbye, class!",同学们， 再见！,
"Students: Goodbye, teacher!",老师，再见！,
New words 1-5,新词,
Thank you,谢谢,
You’re welcome,不客气,
classmate,同学,
Goodbye,再见,
2-1,,
"Wang Yifei: May I ask, what's your name?",请问， 你叫什么名字？,
Chen Tianzhong: My name is Chen Tianzhong.,我叫陈天中,
New words 2-1,新词,
Excuse me,请问,
You,你,
Be called as,叫,
what,什么,
Name,名字,
I/me,我,
2-3,,
"Chen Tianzhong: Hello, Annie!",你好， 安妮！,
"Bai Jiayue: Hello, Chen Tianzhong. I'm not Annie - I'm Bai Jaiyue.",你好， 陈天中！ 我不是安妮， 我是白家月,
Chen Tianzhong: Sorry!,对不起！,
Bai Jiayue: It's okay! (* 2 ways),没关系！// 没事！,
New words 2-3,新词,
Not,不,
be,是,
sorry,对不起,
That’s all right; never mind,没关系,
It doesn’t matter,没事,
2-5,,
Li Wen: Hello! My name is Li Wen.,你好，我叫李文,
Bai Jaiyue: Hello! My name is Bai Jiayue.,你好！ 我叫白家月,
Li Wen: Nice to meet you.,很高兴认识你,
Bai Jiayue: Nice to meet you too.,认识你我也很高兴,
New words 2-5,新词,
very, 很,
Glad; happy,高兴,
Know; become acquainted with,认识,
Also; too,也,
3-1,,
Li Wen: I'm Chinese.,我是中国人,
Bai Jiayue: I'm French. My Chinese language teacher is also Chinese.,我是法国人。我的中文老师也是中国人,
New Words 3-1,新词,
person,人,
De,的,
China,中国,
France,法国,
Chinese Language,中文,
3-3,,
Annie: Who is this?,这是谁？,
Chen Tianzhong: This is my girlfriend.,这是我女朋友,
Annie: What nationality is your girlfriend?,你女朋友 是哪国人？,
Chen Tianzhong: She is also Thai.,她也是泰国人,
New words 3-3,新词,
this,这,
Who,谁,
girlfriend,女朋友,
which,哪,
country,国,
She; her,她,
Thailand,泰国,
3-5,,
"Wang Yixue: Hi, Yifei! (answering phone)",喂， 一飞！,
Wang Yifei: [Big] Sister!,姐姐！,
Wang Yixue: Are you still busy with work?,你工作还忙吗？,
"Wang Yifei: Yes, I'm still very busy. Are you busy too?",对，还很忙。 你也很忙吗？,
Wang Yixue: I'm not too busy. We miss you a lot.,我不太忙。 我们很想你。,
Wang Yifei: I miss you all too. ,我也想你们,
New words 3-5,新词,
Hello; hey (answering phone),喂,
Elder sister,姐姐,
job,工作,
still,还,
busy,忙,
Used at the end of a question,吗,
right,对,
too,太,
"We, us",我们,
miss,想,
4-1,,
Liu Ming: Is Yifei busy?,一飞忙吗？,
Wang Yixue: She is very busy.,她很忙。,
Liu Ming: How many students does she have?,她有多少个学生？,
Wang Yixue: She has twenty students.,她有二十个学生,
New words 4-1,新词,
have,有,
How many/much,多少,
General measure word,个,
4-3,,
Wang Yixue: I have two elder brothers. What about you? ,我哟两个哥哥， 你呢？,
Yang Tongle: I don't have any elder brothers.,我没有哥哥,
Wang Yixue: How many people are there in your family?,你家有几口人？,
"Yang Tongle: THere are four people in my family: my dad, my mom, my younger sister, and me. ",我家有四口人， 爸爸， 妈妈， 妹妹， 喝我,
New Words 4-3,新词,
Elder brother,哥哥,
used at the end of a question,呢,
Not have,没有,
family,家,
How many (where you expect the answer less than 10),几,
"Measure word for family members, knives, etc.",口,
father,爸爸,
mother,妈妈,
Little sister,妹妹,
And ,和,
4-5,,
Yang Tongle: Is this your son?,这是 您儿子吗？,
"Wang Yixue: Yes, I have two children, a son and a daughter.",似的。我有两个孩子，一个儿子， 一个女儿,
Yang Tongle: How old is your son?,您儿子几岁？,
Wang Yixue: He is five years old.,他今年五岁,
Yang Tongle: How old is your daughter?,您女儿多大？,
Wang Yixue: She is twelve.,她今年十二,
New words 4-5,,
How to ask about the age of children under 10,几岁,
How to ask the age of people over 10 ,多大,
Son,儿子,
Children,孩子,
daughter,女儿,
Year (of age),岁,
He; him,他 ,
This year,今年,
How; to what extent,多,
(Of age) old. Also means great.,大,
5-1,,
Wang Yixue: What's the date today? ,今天几号？,
Liu Ming: It's september 8.,今天九月八号,
Wang Yixue: What day is it today?,星期几？,
Liu Ming: It's Sunday. I'm off today.,星期日。今天我休息。,
New words 5-1,新词,
This year,今天,
Date,号 ,
month,月,
Day,日,
Week,星期,
Sunday,星期日,
Sunday,星期天,
Have a rest,休息,
5-3,,
Wang Yixue: Do you know how to cook?,你会做饭吗？,
"Yang Tongle: Yes, I do.",我会做,
Wang Yixue: What dishes can you make?,你会做什么？,
"Yang Tongle: I can make noodles, jiaozi, and some other dishes. I also cook on Sundays.",我会做面条儿， 饺子，也会做一些菜。星期天我也做饭,
New words 5-3,新词,
"Can, be able to",会,
cook,做饭,
"Make, produce",做,
noodles,面条儿,
jiaozi 🥟,饺子,
some,一些,
"Dish, course. Also means vegetable.",菜,
5-5,,
"Wang Yixue: Tongle, are you off work?",同乐，下班吗？,
"Yang Tongle: Yes, I am.",下班。,
